C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\sizer test\324
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
328.345276, 153.720703, 77.695313, 0.000000, 26.041378, 26.041376
281.314331, 121.113281, 26.718750, 46.595982, 26.080769, 26.080770
281.917389, 103.535156, 45.263672, 14.229911, 26.155895, 26.155893
330.148224, 144.404297, 90.087891, 30.412947, 26.740082, 26.740080
280.232361, 120.849609, 25.048828, 69.754463, 26.778736, 26.778738
303.480194, 143.876953, 43.330078, 3.348214, 27.101063, 27.101063
312.422577, 132.802734, 70.224609, 50.502232, 27.565189, 27.565189
395.963043, 163.037109, -171.826172, 54.687500, 27.679621, 27.679621
289.631622, 106.699219, 55.898438, 106.584824, 27.771648, 27.771650
413.718567, -176.748047, -160.576172, 37.946430, 27.810942, 27.810942
379.998444, 159.169922, 163.828125, 70.591515, 27.843964, 27.843962
336.801514, 132.539063, 113.730469, 209.542404, 27.843994, 27.843994
269.827820, 103.974609, 23.466797, 17.578125, 28.265274, 28.265272
317.066284, 124.101563, 87.187500, 28.180803, 28.634594, 28.634592
377.186432, 161.367188, 156.621094, 122.488838, 28.979509, 28.979513
280.377228, 116.455078, 29.707031, 27.622768, 29.233665, 29.233665
350.353149, 156.533203, 113.818359, 67.243301, 29.337570, 29.337566
298.015839, 111.357422, 66.181641, 48.270088, 29.540476, 29.540474
335.452087, 148.886719, 95.009766, 42.689732, 29.588923, 29.588923
326.461578, 130.078125, 97.910156, 79.520088, 29.631783, 29.631783
334.734009, 156.357422, 86.308594, 94.029015, 29.742739, 29.742737
304.149933, 132.451172, 55.898438, 49.665180, 29.757458, 29.757458
301.322083, 129.199219, 54.140625, 39.341518, 29.830490, 29.830492
291.470459, 108.808594, 57.128906, 201.729904, 29.834743, 29.834742
283.285278, 115.136719, 36.210938, 48.549107, 29.845251, 29.845251
294.050262, 118.300781, 52.119141, 29.296875, 29.867001, 29.866999
311.507996, 144.931641, 56.513672, 30.133928, 29.875431, 29.875429
314.087036, 140.097656, 65.917969, 79.241074, 29.897907, 29.897911
265.015076, 93.427734, 25.488281, 77.566963, 29.920382, 29.920382
282.085144, 116.806641, 32.431641, 121.651787, 29.936535, 29.936533
283.435028, 122.431641, 29.179688, 16.741072, 29.972324, 29.972322
312.952972, 130.253906, 73.740234, 67.522324, 29.994112, 29.994114
271.350220, 96.943359, 33.222656, 116.908485, 30.031338, 30.031343
264.057434, 93.251953, 23.994141, 54.129463, 30.092419, 30.092419
278.075104, 113.203125, 28.916016, 28.459822, 30.093822, 30.093822
269.093567, 104.150391, 21.884766, 0.000000, 30.101511, 30.101511
284.393799, 116.718750, 36.562500, 20.089285, 30.133144, 30.133146
303.737152, 129.902344, 57.744141, 120.814735, 30.185123, 30.185125
282.312286, 111.972656, 37.705078, 50.223213, 30.496204, 30.496202
284.637268, 121.992188, 31.728516, 29.854910, 30.616289, 30.616291
308.636658, 138.251953, 58.095703, 39.620537, 30.624718, 30.624718
300.942535, 126.474609, 56.250000, 24.274553, 30.808004, 30.808002
291.397461, 115.136719, 50.625000, 135.044647, 30.813648, 30.813648
298.247467, 122.343750, 55.546875, 75.892860, 30.838919, 30.838921
309.444702, 140.361328, 57.392578, 63.895088, 30.909143, 30.909143
278.193024, 105.732422, 36.562500, 54.408482, 30.960409, 30.960407
318.401031, 147.041016, 66.621094, 156.808029, 30.983599, 30.983601
285.193176, 119.707031, 35.068359, 41.852680, 31.025711, 31.025709
317.124664, 140.009766, 71.367188, 123.046875, 31.703272, 31.703270
258.015747, 108.369141, -1.845703, 35.435268, 33.607876, 33.607876
296.233978, 134.648438, 39.638672, 85.937500, 33.617722, 33.617722
291.321228, 125.244141, 40.341797, 43.805805, 33.623333, 33.623333
295.881378, 130.341797, 43.417969, 44.921875, 33.636677, 33.636677
285.758270, 111.445313, 44.296875, 27.622768, 33.704792, 33.704792
290.301117, 127.880859, 35.859375, 31.808035, 33.706902, 33.706902
300.931183, 126.562500, 56.074219, 48.270088, 33.782059, 33.782059
288.439178, 106.611328, 53.876953, 39.899555, 33.799618, 33.799618
280.877869, 105.205078, 41.835938, 88.448662, 33.801029, 33.801029
306.324036, 126.738281, 65.566406, 21.763393, 33.834011, 33.834011
297.657562, 128.320313, 48.515625, 37.109375, 33.849480, 33.849480
292.647125, 117.246094, 50.712891, 77.287949, 33.919014, 33.919014
307.956268, 124.980469, 70.136719, 60.267857, 33.940079, 33.940079
378.822296, 174.111328, 146.777344, 37.388393, 34.075623, 34.075623
280.019592, 101.250000, 44.296875, 301.618317, 34.374943, 34.374943
314.142609, 126.826172, 79.277344, 203.404022, 34.509766, 34.509762
293.307312, 125.332031, 43.769531, 26.785715, 35.669273, 35.669273
250.482391, 96.240234, -3.164063, 35.435268, 36.089237, 36.089237
287.422516, 130.517578, 28.212891, 166.573654, 36.124413, 36.124413
269.094208, 112.851563, 13.271484, 33.203125, 36.145412, 36.145412
285.778778, 117.861328, 37.880859, 21.763393, 36.424244, 36.424244
300.279358, 142.910156, 38.583984, 31.250000, 36.488903, 36.488903
273.579285, 110.126953, 23.994141, 68.917412, 36.554207, 36.554203
262.193481, 97.646484, 16.259766, 21.205357, 36.578053, 36.578053
282.661652, 119.619141, 30.585938, 16.183035, 36.906754, 36.906754
280.204651, 110.917969, 34.980469, 34.877232, 36.993118, 36.993118
311.066406, 147.656250, 52.998047, 27.343750, 37.071747, 37.071747
270.111816, 113.818359, 14.062500, 26.506697, 37.290848, 37.290848
270.116638, 115.136719, 12.832031, 42.410713, 37.310547, 37.310543
284.514923, 111.533203, 42.011719, 48.828125, 37.406040, 37.406040
296.915314, 134.296875, 41.220703, 22.321428, 37.420799, 37.420799
305.925781, 129.111328, 62.402344, 29.296875, 37.424324, 37.424324
297.579834, 124.365234, 52.382813, 33.482143, 37.434135, 37.434135
304.131744, 130.166016, 58.183594, 39.341518, 37.766293, 37.766293
301.967346, 136.142578, 48.339844, 67.522324, 37.983997, 37.983997
304.585205, 117.246094, 71.894531, 157.087051, 38.029671, 38.029671
286.549347, 131.308594, 25.839844, 2.511161, 38.528278, 38.528278
261.710541, 103.095703, 9.931641, 0.000000, 38.565506, 38.565506
286.742615, 124.980469, 32.519531, 25.390625, 38.571121, 38.571121
253.161423, 116.894531, -19.072266, 3.069196, 38.705242, 38.705242
250.176758, 90.966797, 1.669922, 6.138393, 38.776161, 38.776161
290.265045, 120.058594, 43.681641, 34.598213, 38.887791, 38.887791
303.584595, 130.605469, 56.777344, 70.870537, 38.936245, 38.936245
277.184479, 101.250000, 39.287109, 52.176338, 38.943245, 38.943245
281.417603, 107.929688, 40.078125, 49.386162, 38.967827, 38.967823
273.359741, 111.796875, 21.972656, 26.785715, 39.032413, 39.032413
284.641907, 119.882813, 33.837891, 25.948660, 39.271191, 39.271191
281.021118, 112.324219, 34.980469, 82.868301, 39.278229, 39.278229
272.703979, 104.765625, 27.861328, 11.718750, 39.409546, 39.409546
261.655640, 100.546875, 12.392578, 18.694197, 39.687592, 39.687592
277.739807, 121.992188, 19.511719, 27.622768, 39.769070, 39.769070
298.936249, 120.058594, 59.062500, 10.881697, 39.857498, 39.857498
278.801025, 115.400391, 28.037109, 29.017857, 39.869476, 39.869476
301.018616, 140.273438, 42.539063, 55.803570, 39.908813, 39.908813
293.616608, 120.234375, 49.394531, 17.299107, 40.106831, 40.106831
300.323547, 134.560547, 47.021484, 42.689732, 40.144764, 40.144764
313.998993, 134.560547, 71.191406, 295.200897, 40.245941, 40.245941
272.246857, 100.986328, 30.761719, 25.390625, 40.286617, 40.286617
292.424164, 110.302734, 57.216797, 0.000000, 40.300632, 40.300632
274.358246, 108.632813, 26.894531, 26.785715, 40.327343, 40.327343
282.493744, 136.757813, 13.183594, 15.904017, 40.394051, 40.394051
270.990936, 111.621094, 17.929688, 29.017857, 40.431271, 40.431271
306.215271, 132.451172, 59.589844, 26.506697, 41.136204, 41.136204
284.997650, 116.982422, 37.441406, 26.227678, 41.189610, 41.189610
302.297363, 133.505859, 51.503906, 35.435268, 41.313164, 41.313164
317.570679, 130.429688, 81.738281, 107.700890, 41.754177, 41.754177
354.799164, 158.203125, 120.058594, 48.549107, 41.808228, 41.808228
335.809265, 144.931641, 99.580078, 275.390625, 41.884804, 41.884804
311.083405, 122.343750, 78.310547, 121.372765, 42.021027, 42.021023
330.598877, 149.501953, 85.781250, 157.645096, 42.129887, 42.129887
