"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
398.566956, 164.003906, 173.935547, 616.908508, 39.445415, 39.445381
434.179962, 173.935547, -134.472656, 286.551331, 39.468956, 39.468956
372.386230, 148.007813, 144.667969, 301.339294, 39.477253, 39.477245
473.671997, -174.023438, -78.310547, 511.160706, 39.541710, 39.541721
413.712555, 175.693359, -171.650391, 285.156250, 39.720753, 39.720753
370.213867, 136.054688, 152.841797, 150.669647, 39.849369, 39.849369
447.699097, -177.626953, -119.619141, 240.792404, 40.003742, 40.003742
396.636017, 169.277344, 165.322266, 123.046875, 40.007004, 40.007004
381.643524, 155.566406, 153.105469, 538.783508, 40.078079, 40.078026
400.789368, 174.550781, 167.255859, 529.017883, 40.120445, 40.120445
387.339386, 161.718750, 156.796875, 562.500000, 40.187397, 40.187370
373.093140, 154.335938, 139.570313, 215.680801, 40.289055, 40.289055
391.451233, 158.906250, 166.728516, 552.176331, 40.309216, 40.309170
385.912354, 155.126953, 160.927734, 461.495544, 40.319691, 40.319721
371.333344, 142.558594, 148.271484, 501.395081, 40.422310, 40.422310
402.087585, 164.267578, 179.736328, 192.243301, 40.451328, 40.451328
347.853241, 136.230469, 113.994141, 511.160706, 40.498192, 40.498192
374.628967, 143.437500, 153.105469, 519.531250, 40.722916, 40.722919
358.171295, 140.537109, 127.529297, 528.459839, 40.796513, 40.796509
366.556305, 142.558594, 140.009766, 504.185272, 40.827797, 40.827801
512.112854, -164.267578, -21.533203, 535.156250, 40.915424, 40.915409
395.912598, 161.982422, 171.386719, 583.426331, 41.409702, 41.409660
428.591003, 168.134766, -138.339844, 341.517853, 41.503231, 41.503227
393.692566, 161.455078, 168.046875, 502.790192, 42.038128, 42.038101
388.453857, 168.310547, 152.138672, 561.662964, 42.271244, 42.271210
469.658051, 174.023438, -73.212891, 234.654022, 42.320171, 42.320171
415.317047, 173.232422, -166.376953, 491.629456, 42.399162, 42.399136
433.675354, 168.574219, -129.990234, 427.176331, 43.115490, 43.115490
385.608154, 148.095703, 167.431641, 249.441971, 43.160812, 43.160812
383.190338, 157.675781, 153.632813, 190.290176, 43.212116, 43.212116
572.008545, -140.712891, 58.447266, 565.569214, 43.288906, 43.288906
518.988098, -160.312500, -13.623047, 538.504456, 43.338017, 43.338017
383.673920, 158.291016, 153.896484, 245.814728, 43.375095, 43.375092
485.339233, -176.660156, -55.458984, 476.004456, 43.400513, 43.400517
363.412415, 141.240234, 135.878906, 529.854919, 43.579666, 43.579678
397.491760, 153.017578, -177.011719, 119.140625, 43.580311, 43.580311
403.613403, 173.935547, 172.705078, 184.709824, 43.592983, 43.592983
399.806213, 164.003906, 176.044922, 190.011154, 43.873589, 43.873589
378.939575, 157.939453, 146.074219, 518.973206, 43.889904, 43.889927
513.304138, -167.343750, -16.435547, 428.292419, 44.261391, 44.261391
456.117249, -176.748047, -105.908203, 458.705353, 44.301678, 44.301674
420.827789, 172.705078, -156.357422, 415.736603, 44.419838, 44.419823
387.690338, 150.644531, 168.486328, 516.462036, 44.850624, 44.850624
338.883728, 123.046875, 111.621094, 468.191956, 44.927231, 44.927231
375.448303, 149.941406, 148.007813, 204.241074, 44.976208, 44.976204
375.405365, 156.181641, 141.679688, 500.558044, 45.080448, 45.080410
360.818451, 143.964844, 128.671875, 511.718750, 45.086395, 45.086391
235.390182, 96.152344, -41.923828, 269.810272, 45.180286, 45.180286
361.368866, 151.875000, 121.728516, 491.350433, 45.212147, 45.212128
432.368774, -174.550781, -149.238281, 465.401794, 45.233822, 45.233822
342.476135, 127.265625, 113.642578, 520.368286, 45.260555, 45.260563
365.893982, 150.292969, 131.132813, 518.973206, 45.322285, 45.322281
379.767029, 162.597656, 142.822266, 500.837067, 45.391487, 45.391426
382.201569, 149.501953, 160.136719, 445.312500, 45.551487, 45.551453
