"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
Fillin, 178.066406, 143.789063, 101.841515
330.364563, 153.193359, 122.343750, 125.000000
Fillin, 118.652344, 124.189453, 154.854904
279.013336, 111.972656, 66.181641, 8.649553
304.606445, 153.720703, 72.949219, 25.111607
294.663727, 116.367188, 91.406250, 30.970982
330.971710, 144.052734, 132.626953, 63.337055
354.316498, 166.904297, 154.072266, 65.011162
360.067780, 161.982422, 169.892578, 79.241074
332.232758, 134.121094, 144.931641, 85.658485
363.299835, 176.484375, 161.542969, 100.446426
Fillin, -165.322266, 177.626953, 135.044647
358.387268, 172.792969, 155.917969, 29.296875
347.921326, 148.007813, 160.839844, 51.618305
341.194305, 149.414063, 146.689453, 69.196426
363.946136, 165.410156, 173.847656, 75.055801
363.679291, 177.890625, 160.839844, 74.497765
339.595398, 144.580078, 148.447266, 84.821426
Fillin, -114.521484, -134.824219, 89.285713
291.582550, 123.574219, 78.398438, 28.459822
318.718018, 142.207031, 111.269531, 18.136160
300.637451, 135.527344, 83.583984, 30.133928
355.550964, 156.093750, 167.255859, 53.571430
335.199005, 129.902344, 154.863281, 71.428574
357.117157, 153.193359, 173.056641, 92.633926
Fillin, 111.884766, 158.027344, 144.531250
Fillin, 124.365234, -177.451172, 166.015625
Fillin, -150.996094, -100.634766, 106.863838
305.570831, 144.052734, 84.462891, 9.207589
346.964539, 161.718750, 145.283203, 23.437500
387.610199, -179.648438, -156.357422, 68.080360
Fillin, -165.410156, -156.445313, 116.071426
297.093292, 147.656250, 64.775391, 16.462053
292.548676, 126.474609, 77.343750, 22.321428
334.019989, 158.291016, 124.189453, 34.040180
362.551331, 171.474609, 165.146484, 55.524555
352.595764, 152.578125, 165.146484, 74.218750
359.186005, 159.960938, 170.244141, 78.962051
380.681549, -176.044922, -173.056641, 102.678574
362.401062, 166.640625, 169.716797, 125.279015
303.460663, 140.273438, 84.199219, 31.250000
340.205353, 160.664063, 133.505859, 25.111607
331.603394, 161.630859, 116.279297, 38.504463
342.239227, 152.138672, 145.898438, 40.736607
344.980286, 170.859375, 132.363281, 43.247768
358.610809, 167.783203, 161.367188, 75.055801
308.710449, 119.882813, 114.609375, 42.968750
343.440674, 151.083984, 149.238281, 46.037945
351.671570, 151.171875, 164.794922, 63.337055
382.516296, -177.626953, -168.046875, 116.071426
264.905884, 112.148438, 39.199219, 0.000000
290.894073, 118.828125, 81.826172, 8.649553
419.271210, -166.025391, -109.951172, 33.761162
407.348480, -164.179688, -134.384766, 46.875000
426.388885, -159.169922, -103.183594, 59.430805
Fillin, 97.207031, 66.181641, 16.183035
370.557556, 160.576172, -168.837891, 13.671875
395.487122, -172.265625, -148.798828, 30.412947
310.435608, 137.812500, 99.843750, 16.741072
328.301971, 140.625000, 131.044922, 33.482143
333.705353, 144.404297, 137.460938, 31.529018
358.784760, 173.408203, 156.093750, 49.944195
347.506866, 156.884766, 151.171875, 58.872768
352.831909, 161.191406, 156.972656, 68.638390
386.805725, 157.236328, -134.736328, 41.573662
398.349548, 156.093750, -111.621094, 56.640625
Fillin, 147.216797, -92.109375, 70.870537
268.096252, 104.677734, 52.646484, 11.439733
275.221405, 127.792969, 43.066406, 12.834822
342.278137, 168.222656, 129.902344, 39.341518
327.582855, 131.484375, 138.779297, 48.828125
317.997192, 135.000000, 117.070313, 50.781250
330.602936, 152.929688, 123.046875, 66.685265
336.896515, 155.566406, 132.363281, 79.241074
335.727478, 151.435547, 134.296875, 87.611610
340.748779, 159.433594, 135.791016, 106.584824
Fillin, -178.505859, 148.359375, 113.560265
285.638214, 128.759766, 61.875000, 8.928572
278.583679, 132.011719, 45.263672, 15.904017
348.278442, 153.984375, 155.478516, 33.761162
363.194214, 173.935547, 163.828125, 41.294643
343.583984, 166.992188, 133.593750, 39.062500
357.551819, 162.070313, 165.058594, 72.823662
311.837738, 134.033203, 106.347656, 77.008926
365.935394, 169.365234, 173.671875, 80.915176
288.238708, 138.603516, 57.041016, 11.997767
351.436279, 157.763672, 157.763672, 35.156250
