C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\267
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
257.680817, 103.798828, 13.886719, 119.698662, 0.028332, 0.028333
237.895248, 102.216797, -20.214844, 586.774536, 0.028518, 0.028515
248.424988, 102.041016, -1.054688, 336.495544, 0.028540, 0.028543
265.845581, 125.507813, 6.943359, 546.037964, 0.028717, 0.028729
257.617218, 117.861328, -0.263672, 622.767883, 0.028973, 0.028956
259.759277, 109.687500, 11.777344, 501.395081, 0.029203, 0.029199
245.357132, 103.359375, -7.910156, 581.752258, 0.029400, 0.029400
251.785614, 97.734375, 9.316406, 179.966522, 0.029650, 0.029644
259.484680, 111.533203, 9.404297, 219.029022, 0.030085, 0.030089
256.816650, 113.554688, 2.636719, 603.236633, 0.030306, 0.030309
256.609283, 97.822266, 17.929688, 276.227692, 0.030547, 0.030544
248.122238, 110.654297, -10.195313, 515.066956, 0.031149, 0.031167
254.759720, 119.179688, -6.767578, 594.028992, 0.031377, 0.031389
253.292023, 106.611328, 3.164063, 149.274551, 0.031425, 0.031425
240.859070, 89.208984, -1.845703, 479.631683, 0.031628, 0.031631
258.959015, 105.292969, 14.677734, 197.265625, 0.031644, 0.031640
240.750427, 99.667969, -12.480469, 632.533508, 0.032056, 0.032056
248.312363, 92.548828, 8.261719, 281.529022, 0.032080, 0.032081
238.917740, 85.605469, -1.757813, 333.705353, 0.032299, 0.032289
261.331604, 110.214844, 14.062500, 210.937500, 0.032311, 0.032303
244.370422, 95.537109, -1.845703, 374.720978, 0.032512, 0.032511
262.687988, 115.312500, 11.425781, 207.589279, 0.032527, 0.032527
249.451111, 104.765625, -1.933594, 204.520096, 0.032746, 0.032742
268.173798, 123.310547, 13.359375, 496.930817, 0.032969, 0.032975
238.219498, 106.699219, -24.169922, 454.520081, 0.033145, 0.033159
250.860168, 101.513672, 3.867188, 573.660706, 0.033185, 0.033191
241.762634, 102.744141, -13.798828, 619.140625, 0.033400, 0.033381
257.051147, 95.888672, 20.654297, 139.787949, 0.033417, 0.033419
230.725159, 90.000000, -20.917969, 582.310242, 0.033810, 0.033822
262.938080, 117.509766, 9.667969, 368.582581, 0.034068, 0.034067
258.131256, 105.468750, 13.007813, 162.109375, 0.034079, 0.034074
242.921951, 96.503906, -5.449219, 611.607117, 0.034282, 0.034287
